"Avg # Bars In Losing Trades: All","Avg # Bars In Losing Trades: Long","Avg # Bars In Losing Trades: Short","Avg # Bars in Trades: All","Avg # Bars in Trades: Long","Avg # Bars in Trades: Short","Avg # Bars In Winning Trades: All","Avg # Bars In Winning Trades: Long","Avg # Bars In Winning Trades: Short","Avg Losing Trade: All","Avg Losing Trade: Long","Avg Losing Trade: Short","Avg Losing Trade %: All","Avg Losing Trade %: Long","Avg Losing Trade %: Short","Avg Trade: All","Avg Trade: Long","Avg Trade: Short","Avg Trade %: All","Avg Trade %: Long","Avg Trade %: Short","Avg Winning Trade: All","Avg Winning Trade: Long","Avg Winning Trade: Short","Avg Winning Trade %: All","Avg Winning Trade %: Long","Avg Winning Trade %: Short","Commission Paid: All","Commission Paid: Long","Commission Paid: Short","Gross Loss: All","Gross Loss: Long","Gross Loss: Short","Gross Loss %: All","Gross Loss %: Long","Gross Loss %: Short","Gross Profit: All","Gross Profit: Long","Gross Profit: Short","Gross Profit %: All","Gross Profit %: Long","Gross Profit %: Short","Largest Losing Trade: All","Largest Losing Trade: Long","Largest Losing Trade: Short","Largest Losing Trade %: All","Largest Losing Trade %: Long","Largest Losing Trade %: Short","Largest Winning Trade: All","Largest Winning Trade: Long","Largest Winning Trade: Short","Largest Winning Trade %: All","Largest Winning Trade %: Long","Largest Winning Trade %: Short","Margin Calls: All","Margin Calls: Long","Margin Calls: Short","Max Contracts Held: All","Max Contracts Held: Long","Max Contracts Held: Short","Net Profit: All","Net Profit: Long","Net Profit: Short","Net Profit %: All","Net Profit %: Long","Net Profit %: Short","Number Losing Trades: All","Number Losing Trades: Long","Number Losing Trades: Short","Number Winning Trades: All","Number Winning Trades: Long","Number Winning Trades: Short","Percent Profitable: All","Percent Profitable: Long","Percent Profitable: Short","Profit Factor: All","Profit Factor: Long","Profit Factor: Short","Ratio Avg Win / Avg Loss: All","Ratio Avg Win / Avg Loss: Long","Ratio Avg Win / Avg Loss: Short","Total Open Trades: All","Total Open Trades: Long","Total Open Trades: Short","Total Closed Trades: All","Total Closed Trades: Long","Total Closed Trades: Short","Max Drawdown","Open PL","Buy & Hold Return","Sharpe Ratio","Sortino Ratio","Max Drawdown %","Buy & Hold Return %","Open PL %","comment","__From","__To","__Length","__KSmoothing","__DLength","__Level","__CCI_Period","__T3_Period","__B","__Trade reverse","__Long Stop Loss %","__Enable Trailing","__Stop Loss","__Take Profit","__Trailing Stop","__Trailing Offset","__Source","__Filter","__Slow EMA Period","__Fast EMA Period","__Angle 1","__Angle 2","__Bull Angle Source","__Bear Angle Source"
282.50,282.50,0,282.50,282.50,0,0,0,0,9.94,9.94,0,1.99,1.99,0,-9.94,-9.94,0,-1.99,-1.99,0,0,0,0,0,0,0,0,0,0,19.89,19.89,0,3.98,3.98,0,0,0,0,0,0,0,10.69,10.69,0,2.14,2.14,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,-19.89,-19.89,0,-3.98,-3.98,0,2.00,2.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00,2.00,0,19.89,0,29.25,0,0,3.98,5.85,0,"Current parameters.",true,0,67.00,5.00,7.00,6.00,300.00,199.00,0.04,0,0.50,0,0,0,0,0,"hlc3","ON",30.00,9.00,60.00,15.00,"hlc3","hlc3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Changed ""Angle 2"": 15 => 29.",true,0,67.00,5.00,7.00,6.00,300.00,199.00,0.04,0,0.50,0,0,0,0,0,"hlc3","ON",30.00,9.00,60.00,29.00,"hlc3","hlc3"
242.00,242.00,0,242.00,242.00,0,0,0,0,10.69,10.69,0,2.14,2.14,0,-10.69,-10.69,0,-2.14,-2.14,0,0,0,0,0,0,0,0,0,0,10.69,10.69,0,2.14,2.14,0,0,0,0,0,0,0,10.69,10.69,0,2.14,2.14,0,0,0,0,0,0,0,0,0,0,0.19,0.19,0,-10.69,-10.69,0,-2.14,-2.14,0,1.00,1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00,1.00,0,10.69,0,29.45,0,0,2.14,5.89,0,"Changed ""Angle 1"": 60 => 84.",true,0,67.00,5.00,7.00,6.00,300.00,199.00,0.04,0,0.50,0,0,0,0,0,"hlc3","ON",30.00,9.00,84.00,29.00,"hlc3","hlc3"
379.80,379.80,0,457.00,457.00,0,843.00,843.00,0,9.14,9.14,0,1.83,1.83,0,-7.37,-7.37,0,-1.47,-1.47,0,1.52,1.52,0,0.30,0.30,0,0,0,0,45.72,45.72,0,9.14,9.14,0,1.52,1.52,0,0.30,0.30,0,14.81,14.81,0,2.96,2.96,0,1.52,1.52,0,0.34,0.34,0,0,0,0,0.20,0.20,0,-44.19,-44.19,0,-8.84,-8.84,0,5.00,5.00,0,1.00,1.00,0,16.67,16.67,0,0.03,0.03,0,0.17,0.17,0,0,0,0,6.00,6.00,0,45.72,0,64.05,-0.73,-0.59,9.14,12.81,0,"Changed all parameters randomly.",true,0,67.00,5.00,7.00,6.00,330.00,279.00,0.08,0,0.50,0,0,0,0,0,"hlc3","ON",20.00,15.00,120.00,11.00,"hlc3","hlc3"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Changed all parameters randomly.",true,0,67.00,5.00,7.00,6.00,555.00,129.00,0.08,0,0.50,0,0,0,0,0,"hlc3","ON",35.00,10.00,75.00,23.00,"hlc3","hlc3"
267.00,267.00,0,452.17,452.17,0,637.33,637.33,0,5.42,5.42,0,1.08,1.08,0,6.24,6.24,0,1.25,1.25,0,17.90,17.90,0,3.58,3.58,0,0,0,0,16.27,16.27,0,3.25,3.25,0,53.69,53.69,0,10.74,10.74,0,9.43,9.43,0,1.89,1.89,0,31.24,31.24,0,6.37,6.37,0,0,0,0,0.20,0.20,0,37.43,37.43,0,7.49,7.49,0,3.00,3.00,0,3.00,3.00,0,50.00,50.00,0,3.30,3.30,0,3.30,3.30,0,0,0,0,6.00,6.00,0,9.43,0,49.83,0.31,1.11,1.89,9.97,0,"Changed ""Fast EMA Period"": 10 => 17.",true,0,67.00,5.00,7.00,6.00,555.00,129.00,0.08,0,0.50,0,0,0,0,0,"hlc3","ON",35.00,17.00,75.00,23.00,"hlc3","hlc3"
305.00,305.00,0,605.75,605.75,0,906.50,906.50,0,1.34,1.34,0,0.27,0.27,0,11.32,11.32,0,2.26,2.26,0,23.99,23.99,0,4.80,4.80,0,0,0,0,2.69,2.69,0,0.54,0.54,0,47.99,47.99,0,9.60,9.60,0,1.64,1.64,0,0.33,0.33,0,27.45,27.45,0,5.51,5.51,0,0,0,0,0.20,0.20,0,45.30,45.30,0,9.06,9.06,0,2.00,2.00,0,2.00,2.00,0,50.00,50.00,0,17.86,17.86,0,17.86,17.86,0,0,0,0,4.00,4.00,0,1.64,0,63.81,0.40,7.34,0.33,12.76,0,"Changed all parameters randomly.",true,0,67.00,5.00,7.00,6.00,330.00,339.00,0.08,0,0.50,0,0,0,0,0,"hlc3","ON",15.00,9.00,30.00,13.00,"hlc3","hlc3"
0,0,0,856.00,856.00,0,856.00,856.00,0,0,0,0,0,0,0,27.55,27.55,0,5.51,5.51,0,27.55,27.55,0,5.51,5.51,0,0,0,0,0,0,0,0,0,0,27.55,27.55,0,5.51,5.51,0,0,0,0,0,0,0,27.55,27.55,0,5.51,5.51,0,0,0,0,0.19,0.19,0,27.55,27.55,0,5.51,5.51,0,0,0,0,1.00,1.00,0,100.00,100.00,0,0,0,0,0,0,0,0,0,0,1.00,1.00,0,0,0,47.19,0,0,0,9.44,0,"Changed ""Angle 2"": 13 => 25.",true,0,67.00,5.00,7.00,6.00,330.00,339.00,0.08,0,0.50,0,0,0,0,0,"hlc3","ON",15.00,9.00,30.00,25.00,"hlc3","hlc3"
342.29,342.29,0,430.80,430.80,0,637.33,637.33,0,5.32,5.32,0,1.06,1.06,0,1.53,1.53,0,0.31,0.31,0,17.51,17.51,0,3.50,3.50,0,0,0,0,37.25,37.25,0,7.45,7.45,0,52.54,52.54,0,10.51,10.51,0,9.36,9.36,0,1.89,1.89,0,31.01,31.01,0,6.37,6.37,0,0,0,0,0.20,0.20,0,15.29,15.29,0,3.06,3.06,0,7.00,7.00,0,3.00,3.00,0,30.00,30.00,0,1.41,1.41,0,3.29,3.29,0,0,0,0,10.00,10.00,0,24.18,0,65.12,0.12,0.26,4.67,13.02,0,"Changed all parameters randomly.",true,0,67.00,5.00,7.00,6.00,555.00,129.00,0.08,0,0.50,0,0,0,0,0,"hlc3","ON",30.00,17.00,93.00,7.00,"hlc3","hlc3"
302.29,302.29,0,414.25,414.25,0,571.00,571.00,0,5.74,5.74,0,1.15,1.15,0,1.74,1.74,0,0.35,0.35,0,12.22,12.22,0,2.44,2.44,0,0,0,0,40.20,40.20,0,8.04,8.04,0,61.11,61.11,0,12.22,12.22,0,9.88,9.88,0,1.97,1.97,0,27.14,27.14,0,5.48,5.48,0,0,0,0,0.20,0.20,0,20.91,20.91,0,4.18,4.18,0,7.00,7.00,0,5.00,5.00,0,41.67,41.67,0,1.52,1.52,0,2.13,2.13,0,0,0,0,12.00,12.00,0,29.40,0,65.73,0.16,0.42,5.63,13.15,0,"Changed ""T3_Period"": 339 => 219.",true,0,67.00,5.00,7.00,6.00,330.00,219.00,0.08,0,0.50,0,0,0,0,0,"hlc3","ON",15.00,9.00,30.00,13.00,"hlc3","hlc3"
